ARC_ID,County,Need,Index, Cost ,Link
AB-001,AB,10,15," $1,000,000.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-002,AB,1,14," $500,000.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-003,AB,2,13," $750,000.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-004,AB,3,12," $1,375,000.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-005,AB,4,11," $343,750.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-006,AB,5,10," $1,031,250.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-007,AB,6,9," $1,000,001.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-008,AB,4,8," $500,001.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-009,AB,7,7," $750,001.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-010,AB,8,6," $1,375,001.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-011,AB,9,5," $343,750.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-012,AB,10,4," $1,031,251.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-013,AB,1,3," $1,000,002.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-014,AB,2,2," $500,001.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-015,AB,3,1," $750,002.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-016,AB,4,14," $1,375,003.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-017,AB,5,13," $343,751.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-018,AB,6,12," $1,031,252.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-019,AB,4,11," $1,000,003.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-020,AB,7,10," $500,002.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-021,AB,8,9," $750,002.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
